Order_ID,Customer_ID,Product_ID,Quantity,Unit_Price,Sales_Amount,Order_Date
O00001,C0229,P0013,5,4112,20560,16-08-2024
O00002,C0286,P0053,9,1524,13716,27-08-2025
O00003,C0865,P0017,1,1635,1635,11-08-2024
O00004,C0477,P0259,10,534,5340,28-07-2025
O00005,C0408,P0280,7,3711,25977,04-04-2025
O00006,C1207,P0143,1,2715,2715,15-12-2025
O00007,C0866,P0175,5,2647,13235,08-08-2024
O00008,C0690,P0053,2,6324,12648,09-04-2024
O00009,C0736,P0177,10,4433,44330,06-04-2026
O00010,C0089,P0236,9,2145,19305,22-01-2025
O00012,C0394,P0036,1,3833,3833,02-03-2026
O00013,C0593,P0041,4,1754,7016,24-01-2025
O00015,C0728,P0108,5,1269,6345,15-09-2025
O00016,C0351,P0274,4,2777,11108,18-04-2025
O00017,C0778,P0139,9,3698,33282,02-12-2025
O00018,C0665,P0029,4,625,2500,04-04-2026
O00019,C0647,P0206,5,1184,5920,04-08-2024
O00020,C1162,P0162,4,8279,33116,09-02-2025
O00021,C0940,P0074,5,2387,11935,09-09-2024
O00022,C1150,P0276,5,9677,48385,14-03-2025
O00023,C1196,P0205,6,3693,22158,21-05-2024
O00024,C1044,P0253,2,871,1742,31-05-2026
O00025,C0225,P0079,3,7016,21048,02-09-2025
O00026,C0131,P0198,7,9863,69041,24-04-2025
O00029,C0602,P0223,3,7533,22599,04-01-2024
O00032,C0766,P0083,9,8789,79101,01-01-2024
O00033,C1227,P0166,8,419,3352,24-04-2024
O00035,C1162,P0041,2,8062,16124,15-04-2026
O00036,C0142,P0273,3,2203,6609,06-11-2025
O00038,C1243,P0217,4,8935,35740,12-02-2026
O00039,C0412,P0160,7,6218,43526,24-03-2025
O00040,C1060,P0232,2,4161,8322,18-08-2024
O00042,C0472,P0113,1,1263,1263,25-12-2025
O00044,C0677,P0037,9,3999,35991,12-10-2024
O00045,C0995,P0110,9,2267,20403,10-01-2026
O00047,C0969,P0209,4,1645,6580,09-04-2024
O00048,C0883,P0182,7,6835,47845,23-04-2025
O00049,C0111,P0051,1,6696,6696,15-01-2026
O00050,C0695,P0056,4,3239,12956,13-07-2024
O00051,C1099,P0230,3,7012,21036,06-07-2024
O00052,C0571,P0237,4,1335,5340,29-03-2025
O00053,C1128,P0051,1,8956,8956,06-05-2026
O00054,C0031,P0048,4,2824,11296,20-02-2025
O00056,C0338,P0195,1,6496,6496,28-09-2024
O00057,C0932,P0147,7,9205,64435,08-11-2025
O00058,C0997,P0080,4,4961,19844,10-08-2024
O00060,C0643,P0030,1,9671,9671,03-05-2025
O00062,C0165,P0096,2,9849,19698,10-03-2024
O00063,C0482,P0207,2,9433,18866,09-09-2024
O00066,C0419,P0161,4,4451,17804,09-02-2025
O00067,C0269,P0154,8,5280,42240,08-02-2026
O00068,C0149,P0005,8,9324,74592,12-04-2024
O00069,C0151,P0276,4,8388,33552,28-09-2024
O00070,C0272,P0179,2,4102,8204,13-01-2025
O00071,C0584,P0081,8,9000,72000,21-12-2025
O00072,C0620,P0271,1,9186,9186,02-11-2024
O00073,C0213,P0069,5,1991,9955,19-04-2024
O00074,C1134,P0080,5,4716,23580,11-09-2025
O00075,C0432,P0176,4,4425,17700,01-06-2025
O00078,C0268,P0135,3,7339,22017,18-07-2025
O00080,C0306,P0280,1,6149,6149,19-08-2025
O00081,C1132,P0076,7,2188,15316,12-02-2024
O00083,C0512,P0053,6,9273,55638,14-06-2026
O00084,C0833,P0080,4,2762,11048,30-03-2026
O00085,C0363,P0212,1,3038,3038,24-01-2026
O00086,C0681,P0211,4,4471,17884,12-06-2024
O00087,C0222,P0196,1,7811,7811,15-08-2024
O00088,C0409,P0236,6,5100,30600,20-04-2026
O00089,C0467,P0115,1,3264,3264,12-02-2025
